DistrictCode,DistrictName,SchoolCode,SchoolName,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate
34111.0,Olympia School District,3132.0,Olympia High School,455.0,41.0,,1.0,2.0,13.0,46.0,450.0,414.0,20.0,16.0,0.92
34111.0,Olympia School District,5078.0,Olympia Regional Learning Academy,28.0,8.0,,,2.0,,19.0,17.0,11.0,4.0,2.0,0.6471
24019.0,Omak School District,2031.0,Omak High School,93.0,14.0,1.0,1.0,1.0,9.0,7.0,100.0,80.0,8.0,12.0,0.8
24019.0,Omak School District,5197.0,Washington Virtual Academy Omak High School,277.0,43.0,2.0,1.0,4.0,1.0,165.0,155.0,123.0,24.0,8.0,0.7935
24019.0,Omak School District,5196.0,Washington Virtual Academy Omak Middle School,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,
28137.0,Orcas Island School District,2750.0,Orcas Island High School,28.0,7.0,,,,,3.0,32.0,28.0,4.0,0.0,0.875
28137.0,Orcas Island School District,4558.0,Orcas Island Middle School,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,
24410.0,Oroville School District,2706.0,Oroville Middle-High School,33.0,8.0,1.0,1.0,3.0,,4.0,37.0,32.0,0.0,5.0,0.8649
27344.0,Orting School District,2942.0,Orting High School,224.0,22.0,1.0,2.0,2.0,5.0,28.0,218.0,204.0,4.0,10.0,0.9358
1147.0,Othello School District,5367.0,Desert Oasis High School,36.0,2.0,,2.0,,5.0,6.0,32.0,11.0,14.0,7.0,0.3438
1147.0,Othello School District,3015.0,Othello High School,247.0,21.0,3.0,5.0,8.0,4.0,19.0,249.0,217.0,12.0,20.0,0.8715
11001.0,Pasco School District,5164.0,Chiawana Senior High School,626.0,69.0,1.0,6.0,8.0,25.0,68.0,627.0,543.0,44.0,40.0,0.866
11001.0,Pasco School District,3912.0,New Horizons High School,163.0,7.0,,8.0,17.0,29.0,6.0,164.0,31.0,79.0,54.0,0.18899999999999997
11001.0,Pasco School District,1970.0,Pasco Early Childhood,,1.0,,,,,1.0,0.0,0.0,0.0,0.0,
11001.0,Pasco School District,2917.0,Pasco Senior High School,521.0,83.0,5.0,2.0,13.0,26.0,72.0,532.0,444.0,42.0,46.0,0.8346
21301.0,Pe Ell School District,2858.0,Pe Ell School,19.0,3.0,,,,1.0,3.0,19.0,17.0,1.0,1.0,0.8947
27401.0,Peninsula School District,4081.0,Gig Harbor High,415.0,68.0,1.0,2.0,5.0,15.0,63.0,420.0,372.0,25.0,23.0,0.8857
27401.0,Peninsula School District,1516.0,Henderson Bay Alt High School,50.0,,,1.0,3.0,11.0,10.0,40.0,14.0,11.0,15.0,0.35
27401.0,Peninsula School District,2681.0,Peninsula High School,315.0,46.0,,1.0,2.0,22.0,44.0,317.0,278.0,14.0,25.0,0.877
5121.0,Port Angeles School District,4003.0,Lincoln High School,37.0,9.0,,1.0,4.0,13.0,5.0,41.0,10.0,13.0,18.0,0.2439
5121.0,Port Angeles School District,2908.0,Port Angeles High School,252.0,40.0,,1.0,9.0,12.0,35.0,257.0,231.0,4.0,22.0,0.8988
16050.0,Port Townsend School District,2503.0,Port Townsend High School,71.0,17.0,,,1.0,6.0,14.0,74.0,66.0,1.0,7.0,0.8919
3116.0,Prosser School District,2508.0,Prosser High School,219.0,22.0,,1.0,3.0,13.0,16.0,225.0,192.0,16.0,17.0,0.8533
38267.0,Pullman School District,2499.0,Pullman High School,221.0,30.0,1.0,2.0,2.0,4.0,49.0,202.0,191.0,2.0,9.0,0.9455
27003.0,Puyallup School District,3447.0,Aylen Jr High,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,
27003.0,Puyallup School District,3750.0,Ballou Jr High,5.0,,,,,,5.0,0.0,0.0,0.0,0.0,
27003.0,Puyallup School District,4110.0,Chief Leschi Schools(Closed),11.0,6.0,2.0,3.0,8.0,,2.0,15.0,2.0,0.0,13.0,0.1333
27003.0,Puyallup School District,3972.0,E B Walker High School,57.0,10.0,,,6.0,12.0,5.0,62.0,36.0,8.0,18.0,0.5806
27003.0,Puyallup School District,4540.0,Emerald Ridge High School,477.0,56.0,,7.0,2.0,19.0,45.0,488.0,450.0,10.0,28.0,0.9221
27003.0,Puyallup School District,3645.0,Gov John Rogers High School,572.0,55.0,,10.0,11.0,16.0,34.0,593.0,530.0,26.0,37.0,0.8938
27003.0,Puyallup School District,3052.0,Kalles Junior High,6.0,,,,,,6.0,0.0,0.0,0.0,0.0,
27003.0,Puyallup School District,2125.0,Puyallup High School,564.0,41.0,,3.0,12.0,18.0,32.0,573.0,526.0,14.0,33.0,0.9179999999999999
27003.0,Puyallup School District,1640.0,Puyallup Online Academy/POA,68.0,13.0,,3.0,4.0,13.0,5.0,76.0,28.0,28.0,20.0,0.3684
5402.0,Quillayute Valley School District,2349.0,Forks High School,72.0,8.0,,4.0,4.0,1.0,4.0,76.0,64.0,3.0,9.0,0.8421
5402.0,Quillayute Valley School District,5071.0,Insight School of Washington,764.0,169.0,29.0,71.0,100.0,173.0,108.0,825.0,238.0,214.0,373.0,0.2885
13144.0,Quincy School District,3088.0,Quincy High School,190.0,20.0,2.0,3.0,2.0,14.0,17.0,193.0,161.0,11.0,21.0,0.8342
13144.0,Quincy School District,1506.0,Quincy Innovation Academy,20.0,3.0,,1.0,8.0,7.0,1.0,22.0,5.0,1.0,16.0,0.2273
34307.0,Rainier School District,2468.0,Rainier Senior High School,65.0,12.0,,2.0,1.0,,18.0,59.0,56.0,0.0,3.0,0.9492
17403.0,Renton School District,1784.0,H.O.M.E. Program,2.0,1.0,,,,,3.0,0.0,0.0,0.0,0.0,
17403.0,Renton School District,3630.0,Hazen Senior High School,407.0,46.0,3.0,10.0,6.0,29.0,19.0,434.0,380.0,6.0,48.0,0.8756
17403.0,Renton School District,3741.0,Lindbergh Senior High School,250.0,47.0,2.0,2.0,9.0,9.0,13.0,284.0,235.0,27.0,22.0,0.8275
17403.0,Renton School District,5070.0,Renton Academy,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,
17403.0,Renton School District,2475.0,Renton Senior High School,273.0,60.0,4.0,5.0,6.0,9.0,27.0,306.0,268.0,14.0,24.0,0.8758
17403.0,Renton School District,5282.0,Talley High School,90.0,10.0,1.0,4.0,9.0,25.0,4.0,96.0,35.0,22.0,39.0,0.3646
10309.0,Republic School District,3579.0,Republic Senior High School,19.0,8.0,,,1.0,3.0,10.0,17.0,13.0,0.0,4.0,0.7647
3400.0,Richland School District,3833.0,Hanford High School,493.0,59.0,2.0,1.0,4.0,10.0,54.0,498.0,452.0,29.0,17.0,0.9076
3400.0,Richland School District,3511.0,Richland High School,436.0,51.0,1.0,1.0,2.0,3.0,58.0,429.0,374.0,48.0,7.0,0.8718
3400.0,Richland School District,4295.0,Rivers Edge High School,94.0,16.0,,3.0,11.0,15.0,10.0,100.0,22.0,49.0,29.0,0.22
3400.0,Richland School District,5165.0,Three Rivers Home Link,17.0,4.0,,1.0,,,7.0,14.0,10.0,3.0,1.0,0.7143
6122.0,Ridgefield School District,2390.0,Ridgefield High School,187.0,38.0,1.0,1.0,1.0,2.0,36.0,189.0,171.0,13.0,5.0,0.9048
1160.0,Ritzville School District,2132.0,Ritzville High School,34.0,2.0,,2.0,,4.0,3.0,33.0,25.0,2.0,6.0,0.7576
32416.0,Riverside School District,4228.0,Riverside High School,110.0,22.0,,2.0,5.0,7.0,20.0,112.0,93.0,5.0,14.0,0.8304
17407.0,Riverview School District,3524.0,Cedarcrest High School,232.0,25.0,1.0,4.0,2.0,5.0,27.0,230.0,211.0,7.0,12.0,0.9174
17407.0,Riverview School District,1756.0,CLIP,22.0,3.0,,,,4.0,2.0,23.0,11.0,8.0,4.0,0.4783
34401.0,Rochester School District,1735.0,H.e.a.r.t. High School,22.0,1.0,,,3.0,4.0,0.0,23.0,11.0,5.0,7.0,0.4783
34401.0,Rochester School District,4326.0,Rochester High School,147.0,12.0,3.0,,1.0,5.0,13.0,146.0,130.0,7.0,9.0,0.8904
13160.0,Royal School District,3516.0,Royal High School,124.0,6.0,1.0,1.0,5.0,5.0,7.0,123.0,103.0,8.0,12.0,0.8374
28149.0,San Juan Island School District,2879.0,Friday Harbor High School,63.0,8.0,,1.0,2.0,1.0,9.0,62.0,56.0,2.0,4.0,0.9032
